stock,variable,year,mean,sd,lower,upper,status
Artemesia longinaris,b_div_bmsy,2019,0.930848601547753,0.238417910366867,0.634585421091433,1.36129558957108,Fully fished
Brevoortia aurea,b_div_bmsy,2019,0.301413460111471,0.22487707870149,0.212342626583032,0.433862477860251,Overfished
Callorhinchus callorynchus,b_div_bmsy,2019,0.587778412275687,0.192882309234881,0.430590477404578,0.800486998290681,Overfished
Cynoscion guatucupa,b_div_bmsy,2019,1.07989879406726,0.182960319332998,0.804594902719923,1.4551547353119,Fully fished
Elasmobranchii,b_div_bmsy,2019,0.442484554956597,0.144156569322244,0.355709300732206,0.562294511033516,Overfished
Pagrus pagrus,b_div_bmsy,2019,0.712212751911848,0.212940395815278,0.50525501636719,1.00365350709429,Overfished
Percophis brasiliensis,b_div_bmsy,2019,0.920428957512691,0.193628383785999,0.673463304174522,1.24796324168648,Fully fished
Pogonias cromis,b_div_bmsy,2019,0.348192269330883,0.21722125653797,0.245146871847796,0.500623586017207,Overfished
Rajiformes,b_div_bmsy,2019,1.03498259147311,0.18454534238317,0.770031570361094,1.37579524470277,Fully fished
Scomber colias,b_div_bmsy,2019,0.357568717408963,0.204797439627994,0.25756932387489,0.494913647668274,Overfished
